,num,T2_F_near,T2_err_F_near,T2_F_mid,T2_err_F_mid,T2_F_far,T2_err_F_far
0,10,0.7628554215124986,0.0022803210007464945,0.5547467399782159,0.016013409603776403,0.6449085974329026,0.011345749255866238
1,20,0.7627589792471351,0.0022814463587043383,0.5546755316662132,0.01601010683060362,0.6448634554519681,0.01134408238436216
2,30,0.761754630954054,0.002293853118974574,0.5540374881975542,0.015981002143589666,0.6444638318418229,0.011329277820600104
3,40,0.7607869597744605,0.00230609480672704,0.553179548786675,0.01594244483402884,0.6438933371157364,0.011308232056102575
4,50,0.7568560760376416,0.0023030366761517766,0.5501035151644228,0.01583966415950508,0.6419667256851925,0.011253263532400797
5,60,0.7475174889803855,0.0024700521971870695,0.5461457075134001,0.015662477699153694,0.64073553985073,0.011207975411394748
6,70,0.7428903440678933,0.0024757383325500356,0.543673605501643,0.015575262992328776,0.639751984904037,0.011177742626097874
7,80,0.7413047913070168,0.0025106390924786583,0.5424710359096597,0.0155197592273901,0.6388144280391992,0.011142945859716844
8,90,0.7394911280834273,0.002551824558713581,0.5413734395044175,0.015469925917282537,0.6381931363478444,0.011120262457549821
9,100,0.7306924471475337,0.0027269737953710045,0.5365757986009576,0.015273582263022164,0.6361118415059517,0.011050845420093646
10,110,0.7270396769765471,0.002764084036271928,0.5341004690033516,0.015171170645281642,0.6344502211275606,0.010996975045783708
11,120,0.7205891085465524,0.0029190657633955497,0.5287471368170296,0.014930839285455036,0.6315218203218983,0.010892507613163509
12,130,0.7165582664454585,0.003023475562007245,0.5262783459427366,0.014840439770302407,0.630135979305956,0.010841961420661258
13,140,0.7142015007754435,0.003084902070705947,0.5244182824303578,0.014754680216756733,0.6289624966210307,0.010799149605902333
14,150,0.7096543063995274,0.0031549732456396355,0.5221947174249243,0.014659947445796306,0.6276678862383628,0.010754149572087058
15,160,0.7050269218911518,0.0032692804292868667,0.5179830380727464,0.014472609587531375,0.6248880787102662,0.010656739171506509
16,170,0.6965287071097374,0.00345794930314704,0.5104703775864919,0.014118123591930001,0.6208425333924675,0.010510077296955127
17,180,0.6894201041603927,0.003520346126703282,0.5063005553956116,0.013951057923413087,0.6189945275284382,0.01045149100548356
18,190,0.683654719076271,0.0035937977532508763,0.5024973255714368,0.013801424750802564,0.616276154188232,0.010377704817069311
19,200,0.6787950115875251,0.003701645062380879,0.4980787206220556,0.013598348557019961,0.6135999583855849,0.010282231819637716
