,depth,T2_F_10,T2_err_F_10,T2_F_50,T2_err_F_50,T2_F_100,T2_err_F_100
0,1.9082893084895542,0.7628554215124986,0.0022803210007464945,0.7568560760376416,0.0023030366761517766,0.6143340575775336,0.004479343993398547
1,2.5266314467916433,0.7952268490872868,0.0026506508621683294,0.7879455892117854,0.002557457485930806,0.6188739607955474,0.0027229877068201975
2,3.144973585093733,0.751049338168881,0.005792626046777365,0.7448394070342829,0.0056737112827483505,0.5937863921430206,0.0019938314470295576
3,3.7633157233958214,0.7207278148804631,0.010124340984380132,0.7145128017159826,0.009958581336296127,0.5651284448059191,0.004897360766546537
4,4.381657861697911,0.5682329743588049,0.023909242258981583,0.5621746005066884,0.02365885072811087,0.4317570282062092,0.016417992751417733
5,5.0,0.5547467399782159,0.016013409603776403,0.5501035151644228,0.01583966415950508,0.4492061264295948,0.011382216920070987
6,5.618342138302089,0.581039742011779,0.014713196548159847,0.5765069680943404,0.014506166530060373,0.486929940166835,0.009506460870656114
7,6.236684276604178,0.6593894043187559,0.019980678661673162,0.6538697601853074,0.01977235653441037,0.5263700685416742,0.014760278597249328
8,6.855026414906267,0.5932309593245658,0.018675050257738617,0.5874219904723582,0.01845203041239248,0.47346915858656147,0.01310433259808141
9,7.473368553208357,0.6281666963541858,0.01670537048926488,0.6238079075594786,0.01653625537728438,0.5348882708933549,0.012637944414092
10,8.091710691510446,0.6449085974329026,0.011345749255866238,0.6419667256851925,0.011253263532400797,0.5807801566348864,0.009195786502755572
