,num,T2_H_near,T2_err_H_near,T2_H_mid,T2_err_H_mid,T2_H_far,T2_err_H_far
0,10,0.7628302761663708,0.002280603413243102,0.554732657987224,0.016012766506063134,0.6449019727413975,0.011345503086363696
1,30,0.7612812562177605,0.002300177971815665,0.5537178633023702,0.015966559751146223,0.6442695505652241,0.011322101219638612
2,50,0.7554455306691845,0.002302135594137731,0.5489780177329697,0.01579413261541354,0.6411566309033437,0.01122629735203392
3,70,0.737824925644508,0.0025329550466908165,0.540711718849724,0.015453207064547727,0.6382650119277791,0.011127998505823604
4,90,0.7332881870520527,0.002642393936290679,0.5375558085235586,0.01530901668602406,0.6361086595849015,0.011048736187068357
5,110,0.7178038643268442,0.0029201148510444768,0.5284007501310056,0.01493030655341473,0.6314475225879794,0.0108973149887542
6,130,0.704629794814485,0.0032395197988382847,0.5182238799415144,0.014482257140877556,0.6256951562998018,0.010691393362928233
7,150,0.6964671204679355,0.0033742182799866476,0.5131337120416347,0.014257295695851135,0.6225023563475819,0.010579200156577243
8,170,0.6805029525545357,0.0037113926879594325,0.49853781819801396,0.013583018401735715,0.6136783685532399,0.010267737822275438
9,190,0.6660593361477709,0.003824383681474405,0.489563343705302,0.013221240032558753,0.6084389560987055,0.01011737709080508
10,210,0.649301931048511,0.004068178936596383,0.47390244008228055,0.012524403035908276,0.5984389599641041,0.0097850221796593
11,230,0.6382077703408541,0.004236837970952782,0.4664157014281746,0.012176224869785285,0.5936335721996315,0.009622156609112066
12,250,0.6314546133304665,0.004323232155133096,0.4607360400112127,0.011908401710636837,0.5896208567999935,0.009489351423193588
13,270,0.6178567748072361,0.004437599203553382,0.44988115769643194,0.011413012234443728,0.5814663909901767,0.009232963417271676
14,290,0.5927814319663346,0.004558081753383999,0.434049234400694,0.010679434946710814,0.5705001556197848,0.008888535622916057
