,depth,T2_H_10,T2_err_H_10,T2_H_50,T2_err_H_50,T2_H_100,T2_err_H_100,T2_H_300,T2_err_H_300
0,1.9082893084895542,0.7628302761663708,0.002280603413243102,0.7554455306691845,0.002302135594137731,0.7222301708749135,0.0028620048699598334,0.5889158674036832,0.004612707046493719
1,2.5266314467916433,0.7951947164970358,0.0026497099852246767,0.7861245659209413,0.0025234808241064673,0.7465976407236486,0.0017994345408040109,0.5915135600187827,0.0030869710989309593
2,3.144973585093733,0.7510241747500613,0.005791872190507432,0.7433238799881727,0.005646801807354741,0.711729322014093,0.004826060204983477,0.5676309962720404,0.0017060491563045367
3,3.7633157233958214,0.7207038881462493,0.010123484851426971,0.7129760828719194,0.00991649643045535,0.6835873604882828,0.008954074113177357,0.5393099014712646,0.004079718041195605
4,4.381657861697911,0.5682135866909181,0.023908313147108347,0.5607581988990153,0.02359890053918962,0.5354911376469232,0.02242405007195005,0.4117568885024039,0.015020510903335603
5,5.0,0.554732657987224,0.016012766506063134,0.5489780177329697,0.01579413261541354,0.531545240897244,0.015063482110048007,0.4300871977424921,0.010480845729369375
6,5.618342138302089,0.5810261167231293,0.014712459693017146,0.5753586109451366,0.014450172103346287,0.5597251876270679,0.013647810474262305,0.471208682965713,0.00863161261304549
7,6.236684276604178,0.6593723489077777,0.019980042487789482,0.6523469642672629,0.019718541100850265,0.6335908382543027,0.019006055869381294,0.5009058205001168,0.013667439088103398
8,6.855026414906267,0.5932153244845202,0.01867438415979047,0.5858781854568096,0.01838961397078122,0.5683457659933375,0.017666605071831612,0.45379918802519303,0.011973199123251344
9,7.473368553208357,0.6281558109844646,0.016704909811281907,0.622629265180679,0.016489208227441886,0.6104448989672732,0.015988198603869307,0.516093823661205,0.011746727727832458
10,8.091710691510446,0.6449019727413975,0.011345503086363696,0.6411566309033437,0.01122629735203392,0.6335467066839853,0.010965471163953383,0.565868046098705,0.008739200460372184
