,depth,T2_P_10,T2_err_P_10,T2_P_50,T2_err_P_50,T2_P_100,T2_err_P_100,T2_P_300,T2_err_P_300
0,1.9082893084895542,0.7629133071870892,0.0022796853659912556,0.7626279601123126,0.002280797434446562,0.7622471620894822,0.002285092056015423,0.7586218408274311,0.002331861745492273
1,2.5266314467916433,0.7953007458688431,0.0026528284740292285,0.7949849034094171,0.002648985530668293,0.7945209779886142,0.002635488805143801,0.7900151410821157,0.0025149989072770604
2,3.144973585093733,0.7511070777231197,0.005794359481083768,0.7508585818620106,0.005789245100004516,0.7505124291762394,0.005778941547849976,0.7469835605920998,0.005678061150335993
3,3.7633157233958214,0.7207826369411373,0.0101263019801901,0.7205546658175076,0.01011981877394629,0.7202416760234142,0.010108695681938049,0.716903360567536,0.009993176785553682
4,4.381657861697911,0.5682775411376217,0.023911370344701914,0.5680788888226531,0.02390287196749333,0.5678367807565715,0.023891334216839318,0.5651074682666908,0.023762168336983726
5,5.0,0.5547791471281216,0.016014873867566025,0.5546517340478677,0.016009615196065884,0.5545354493707202,0.016006977446382187,0.5526616413071402,0.016048076066512037
6,5.618342138302089,0.5810709081054795,0.014714882602769886,0.5809420750640643,0.014708551254619773,0.5807854388873801,0.014700132541062992,0.5788328587484762,0.014597233726494156
7,6.236684276604178,0.6594284031909626,0.019982131284174823,0.6594402454346742,0.019964755524869315,0.6595702576998551,0.019935682404280074,0.657994191263294,0.019787788418250768
8,6.855026414906267,0.5932666865847203,0.018676571694581853,0.5931178718104937,0.018670493121160963,0.5929492605566844,0.018663343214352188,0.590633657014951,0.01856643685422917
9,7.473368553208357,0.6281915633567664,0.016706422718554517,0.6280847914365513,0.01670202462951714,0.6279700316456492,0.016697188758242328,0.6263163185544788,0.016628297312770733
10,8.091710691510446,0.644923719690288,0.011346309571133835,0.6448555964570903,0.011343876379115755,0.6447867558521623,0.01134134169246309,0.643741928308695,0.011303703010072426
